ubigeo;provincia;salud;educacion1;educacion2;calidad
10100;Chachapoyas;72.32;67.04;8.19;944.6
10200;Bagua;73.68;49.38;7.04;732.5
10300;Bongará;70.9;45.52;6.1;646.1
10400;Condorcanqui;66.22;33.96;5.53;230.7
10500;Luya;71.04;35.37;5.19;473.3
10600;Rodríguez de Mendoza;70.73;36.33;5.68;540.2
10700;Utcubamba;71.49;58.85;5.99;827.9
20100;Huaraz;74.78;70.55;9.28;902.7
20200;Aija;63.8;44.91;7.12;502.9
20300;Antonio Raymondi;71.46;47.71;6.07;301.2
20400;Asunción;71.36;53.49;5.69;525.9
20500;Bolognesi;70.95;52.67;7.56;682.8
20600;Carhuaz;79.66;64.06;5.38;495.3
20700;Carlos Fermín Fitzcarrald;75.04;38.35;4.84;330.5
20800;Casma;78.62;61.55;7.87;965.5
20900;Corongo;73.07;46.84;6.26;504.7
21000;Huari;75.31;50.11;6.8;569.1
21100;Huarmey;79.27;64.39;8.73;956.7
21200;Huaylas;79.62;44.37;5.61;558.6
21300;Mariscal Luzuriaga;72.8;40.85;5.07;247.3
21400;Ocros;79.03;61.22;7.25;604.6
21500;Pallasca;66.73;41.31;5.9;394.5
21600;Pomabamba;75.88;44.87;5.26;386.5
21700;Recuay;69.39;67.25;7.32;541.7
21800;Santa;78.7;70.52;9.58;1,066.80
21900;Sihuas;74.26;43.49;5.58;309.2
22000;Yungay;72.03;47.48;5.01;398.3
30100;Abancay;72.29;74.04;8.74;771.4
30200;Andahuaylas;76.05;69.88;6.24;500.5
30300;Antabamba;55.23;53.21;6.31;436.3
30400;Aymaraes;66.21;59.48;6.09;414.1
30500;Cotabambas;71.96;71.69;5.67;402.1
30600;Chincheros;70.38;63.33;5.58;358.9
30700;Grau;64.3;61.79;6.02;283
40100;Arequipa;78.3;79.37;11.08;1,190.50
40200;Camaná;82.29;71.54;9.28;1,057.10
40300;Caravelí;83.05;56.64;8.97;1,151.20
40400;Castilla;76.32;55.9;8.34;1,065.80
40500;Caylloma;78.94;66.47;8.38;1,043.70
40600;Condesuyos;79.33;55.77;8.1;1,111.30
40700;Islay;76.69;75.91;9.65;1,144.70
40800;La Unión;83.43;36.84;6.01;386.2
50100;Huamanga;70.72;69.26;8.76;685.9
50200;Cangallo;79.14;56.27;5.04;307.5
50300;Huanca Sancos;73.22;45.76;5.91;507.5
50400;Huanta;74.74;59.49;6.01;453.5
50500;La Mar;77.48;51.86;4.98;339.1
50600;Lucanas;68.27;61.89;6.93;591.8
50700;Parinacochas;59.86;66.5;7.4;637.7
50800;Paucar del Sara Sara;71.9;54.4;7.77;579.9
50900;Sucre;69.61;51.27;6.56;500.1
51000;Víctor Fajardo;77.89;50.66;5.73;430
